timestamp,open,high,low,close,volume
2025-06-22 07:00:00,0.2022,0.2026,0.1989,0.2005,11376996.7
2025-06-22 08:00:00,0.2006,0.2007,0.1964,0.197,11293283.6
2025-06-22 09:00:00,0.197,0.1982,0.1959,0.1966,6928640.7
2025-06-22 10:00:00,0.1965,0.2008,0.1964,0.2006,6442976.2
2025-06-22 11:00:00,0.2006,0.2011,0.1981,0.1991,5698163.7
2025-06-22 12:00:00,0.1991,0.1991,0.1964,0.1982,4022691.5
2025-06-22 13:00:00,0.1982,0.1996,0.1913,0.1951,26502966.3
2025-06-22 14:00:00,0.195,0.1966,0.1913,0.1943,18779706.8
2025-06-22 15:00:00,0.1942,0.1961,0.1923,0.1928,8798369.0
2025-06-22 16:00:00,0.1928,0.1985,0.1922,0.1967,10307886.8
2025-06-22 17:00:00,0.1968,0.2006,0.1949,0.1961,9211710.8
2025-06-22 18:00:00,0.1961,0.1972,0.1944,0.195,5278089.8
2025-06-22 19:00:00,0.195,0.1986,0.1948,0.1983,4600646.5
2025-06-22 20:00:00,0.1984,0.1984,0.1931,0.1965,11552993.3
2025-06-22 21:00:00,0.1966,0.2001,0.1966,0.1988,6719119.2
2025-06-22 22:00:00,0.1988,0.204,0.1983,0.2038,11600812.0
2025-06-22 23:00:00,0.2037,0.2038,0.1991,0.1996,8600260.3
2025-06-23 00:00:00,0.1995,0.2021,0.1975,0.1995,8128435.3
2025-06-23 01:00:00,0.1995,0.2035,0.1979,0.2031,8634397.3
2025-06-23 02:00:00,0.2032,0.2052,0.2024,0.2024,8368093.9
2025-06-23 03:00:00,0.2023,0.2029,0.1982,0.2025,13002148.0
2025-06-23 04:00:00,0.2025,0.2055,0.2023,0.2025,9716040.5
2025-06-23 05:00:00,0.2025,0.2061,0.2024,0.2047,9809647.3
2025-06-23 06:00:00,0.2047,0.2078,0.2037,0.204,11582821.8
2025-06-23 07:00:00,0.2041,0.205,0.2007,0.2027,12763676.8
2025-06-23 08:00:00,0.2027,0.2044,0.2002,0.201,7445807.9
2025-06-23 09:00:00,0.2011,0.2012,0.1985,0.2008,7510210.3
2025-06-23 10:00:00,0.2007,0.2009,0.1966,0.1972,8021807.8
2025-06-23 11:00:00,0.1971,0.1979,0.1944,0.1946,10511086.3
